Customer_ID,Attr1_Dummy1,Attr1_Dummy2,Attr1_Dummy3,Attr2_Trans,Attr3_dummy1,Attr3_dummy2,Attr3_dummy3,Attr3_dummy4,Attr4_Dummy1,Attr4_Dummy2,Attr4_Dummy3,Attr4_Dummy4,Attr4_Dummy5,Attr4_Dummy6,Attr5_Dummy1,Attr5_Dummy2,Attr6_Dummy1,Attr6_Dummy2,Attr6_Dummy3,Attr6_Dummy4,Attr7_Dummy1,Attr7_Dummy2,Attr7_Dummy3,Attr7_Dummy4,Attr8,Attr9_Dummy1,Attr9_Dummy2,Attr9_Dummy3,Attr10_Dummy1,Attr10_Dummy2,Attr11,Attr12_Dummy1,Attr12_Dummy2,Attr12_Dummy3,Attr13,Attr14_Dummy,Attr15_Dummy,Attr16,Attr17_Dummy1,Attr17_Dummy2,Attr17_Dummy3,Attr18,Attr19_Dummy,Attr20,Default_On_Payment,Count
100001,1,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,4,1,0,0,60,0,0,2,0,0,0,1,1,A201,0,1
100002,0,1,0,48,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1,0,0,22,0,0,1,0,0,0,1,0,A201,0,1
100003,0,0,0,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,1,0,0,49,0,0,1,0,1,0,2,0,A201,0,1
100004,1,0,0,48,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,4,0,1,0,45,0,1,1,0,0,0,2,0,A201,0,1
100005,1,0,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,1,53,0,1,2,0,0,0,2,0,A201,1,1
100006,0,0,0,36,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,4,0,0,1,35,0,1,1,0,1,0,2,1,A201,0,1
100007,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,4,0,1,0,53,0,0,1,0,0,0,1,0,A201,0,1
100008,0,1,0,36,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,35,0,1,1,0,0,1,1,1,A201,0,1
100009,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,4,1,0,0,60,0,0,1,0,1,0,1,0,A201,0,1
100010,0,1,0,36,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,2,0,0,0,28,0,0,2,0,0,1,1,0,A201,1,1
100011,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,25,0,1,1,0,0,0,1,0,A201,1,1
100012,1,0,0,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,4,0,1,0,24,0,1,1,0,0,0,1,0,A201,1,1
100013,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,22,0,0,1,0,0,0,1,1,A201,0,1
100014,1,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,0,60,0,0,2,0,1,0,1,0,A201,1,1
100015,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,28,0,1,1,0,0,0,1,0,A201,0,1
100016,1,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,32,0,0,1,0,1,0,1,0,A201,1,1
100017,0,0,0,24,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,4,0,1,0,53,0,0,2,0,0,0,1,0,A201,0,1
100018,1,0,0,36,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,25,1,0,3,0,0,0,1,0,A201,0,1
100019,0,1,0,24,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,0,0,2,0,0,1,44,0,1,1,0,0,1,1,1,A201,1,1
100020,0,0,0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,31,0,0,1,0,0,0,2,1,A201,0,1
100021,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,48,0,0,3,0,0,0,1,1,A201,0,1
100022,1,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,44,0,1,1,0,0,0,2,0,A201,0,1
100023,1,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,48,0,1,2,0,1,0,2,0,A202,0,1
100024,0,1,0,12,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,4,0,1,0,44,0,0,1,0,0,0,1,0,A201,0,1
100025,0,0,0,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,26,0,0,2,0,0,0,1,0,A202,0,1
100026,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,36,1,0,1,0,1,0,1,1,A201,0,1
100027,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,4,0,0,0,39,0,0,1,0,1,0,1,0,A201,0,1
100028,0,0,1,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,3,1,0,0,42,0,1,2,0,0,0,1,0,A201,0,1
100029,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,1,0,0,34,0,0,1,0,0,0,1,0,A201,0,1
100030,1,0,0,60,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,1,60,0,0,2,0,0,0,1,1,A201,1,1
100031,0,1,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,1,0,0,3,1,0,0,36,1,0,1,0,0,0,1,1,A201,0,1
100032,1,0,0,24,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,27,1,0,1,0,0,0,1,0,A201,0,1
100033,0,1,0,24,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,30,0,0,2,0,0,0,1,1,A201,0,1
100034,0,0,0,12,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,4,0,0,1,57,0,1,1,0,1,0,1,0,A201,0,1
100035,0,0,1,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,1,0,1,0,33,1,0,1,0,0,1,1,1,A201,0,1
100036,0,1,0,48,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,2,0,1,0,25,0,0,2,0,1,0,1,0,A201,1,1
100037,0,0,0,48,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,31,1,1,1,0,0,0,1,1,A201,0,1
100038,0,0,1,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,2,1,0,0,37,1,0,1,0,0,0,1,0,A201,1,1
100039,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,37,0,0,1,0,0,0,1,1,A201,0,1
100040,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,1,0,0,24,0,0,1,0,0,0,1,0,A201,0,1
100041,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,0,30,1,0,1,0,0,1,1,0,A201,0,1
100042,0,1,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,26,0,0,1,0,0,0,1,1,A201,0,1
100043,0,1,0,24,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,0,44,0,0,1,0,1,0,2,1,A201,0,1
100044,1,0,0,36,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,4,0,0,0,24,0,1,2,0,0,0,1,0,A201,0,1
100045,1,0,0,48,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,4,0,0,1,58,1,1,2,0,1,0,1,0,A201,1,1
100046,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,4,0,0,0,35,0,0,2,0,0,1,1,0,A201,0,1
100047,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,0,39,0,0,1,0,0,0,1,0,A201,0,1
100048,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,1,0,23,0,1,1,1,0,0,1,1,A201,0,1
100049,0,0,0,12,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,39,0,0,2,0,1,0,1,0,A201,0,1
100050,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,2,1,0,0,28,0,0,1,0,0,0,1,0,A201,0,1
100051,0,1,0,24,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,0,2,0,1,0,29,1,0,1,0,1,0,1,0,A201,0,1
100052,0,1,0,36,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,30,0,0,2,0,0,1,1,1,A201,0,1
100053,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,25,0,0,1,0,0,0,1,0,A201,0,1
100054,0,0,0,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,31,0,0,1,0,0,0,1,1,A201,0,1
100055,0,1,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,4,0,0,1,57,1,1,2,0,0,0,1,1,A201,1,1
